Input,Output
Make sure that the probe went through more than 500 degress C.,Make sure that the temperature of the probe increased to more than 500 degress C.
Move the tube to see if the inner connection is tight.,Move the tube to make sure that the inner connection is tight.
The indicator turns green.,The color of the indicator changes to green.
Do not let the pressure go below (or above) 20 psi.,Do not let the pressure become less than (or more than) 20 psi.
"When you work with cleaning agents, use breathing equipment","When you do work with cleaning agents, use breathing equipment."
Install the cover with the help of a second person.,Install the cover with the aid of a second person.
Be careful to not damage the sleeve,Be careful to not cause damage to the sleeve
Put out the fire,Extinguish the fire
"After you put out the fire, close the valve on the fire extinguisher","After you extinguish the fire, close the valve on the fire extinguisher"
This compound can give poisonous fumes,This compound can release poisonous fumes
Make sure the valve the open,Make sure that the valve is open
The manufacturer recommends you prepare the mixture in an area with good airflow.,The manufacturer recommends that you prepare the mixture in an area with good airflow.
The guage shows the reservoir is full.,The guage show that the reservoir is full.
Lift the aircraft at the maximum takeoff weight with passengers.,Lift the aircraft at the maximum takeoff weight (passenger weight included).
Carefully seal the opening with the specified tool.,Use the specified tool to seal the opening.
"If you engage the pins incorrectly with the seats, they can become damaged.","If you engage the pins incorrectly with the seats, the pins and the seats can become damaged."
Make sure that the cover is not locked (this can cause damage to the probe).,"Make sure that the cover is not locked. If the cover is locked, this can cause damage to the probe."
"Do not use crocus cloth on aluminium parts. If you do this, you can cause corrosion on aluminium parts. Crocus cloth containes ferrus oxide.",Do not use crocus cloth on aluminium parts. Crocus cloth contains ferrus oxide can cause corrosion on aluminium parts.
Fit the duct.,Install the duct.
Ensure that the repair plug fits.,Make sure that the repair plug has the correct dimensions.
A correct bond depends on the surface flatness.,The surface must be flat to form a correct bond.
Do not flood the area with solvent.,Do not use too much solvent in the area.
Make sure that the pressure does not fluctuate.,Make sure that the pressure stays constant.
Focus the optical fixture,Put that optical fixture into focus.
Make a fold in the material.,Fold the material.
Obey the following precautions,Obey the precautions that follow.
"When you use this material, follow the manufacturer's instructions.","When you use this material, obey the manufacturer's instructions."
Clip may be removed by forcing it out.,Push the clip out to remove it.
"If unfavorable weather conditions are forecast, moor the aircraft securely.","If bad weather is possible, moor the aircraft safely."
The seal is in the form of an ellipse.,The seal has the shape of an ellipse.
"If contanmination has formed in the fuel tanks, remove it immediately.","If there is contanmination in the fuel tanks, remove it immediately."
Carbon-fiber struts fortify the floor structure.,Carbon-fiber struts make the floor structure stronger.
Make sure that the rods cannot foul the flaps,Make sure that the rods cannot catch on the flaps.
Remove all fouled filter elements,Remove all clogged filter elements
The water quantity transmitter is fragile.,The water quantity transmitter is easily damaged.
Remove the sleeve to free the sliding tube,Remove the sleeve to release the sliding tube.
Flush with fresh water.,Flush with clean water
Recharge with fresh desiccant,Fill with new desiccant.
Fuel aircraft.,Refuel aircraft.
The System controls must function smoothly.,The System controls must move freely
Cleanliness of all parts is fundamental in this procedure.,It is important to keep all parts clean during this procedure.
Furnish the technician with sufficient protective clothing.,Give the technician sufficient protective clothing.
"If required, add more gaskets","If necessary, add more gaskets."
The result is a gain in temperature.,The result is that the temperature increases
The surface must not be scratched or galled.,There must be no scratches or galling on the surface.
Measure the gap between the impeller and the body,Measure the clearance between the impeller and the body
"If the radio signal is garbled, adjust the frequency.","If the radio signal is not clear, adjust the frequency."
The annoucement must be audible and not garbled.,You must hear the annoucement clearly.
These computers garner data from the VHF system.,These computers collect data from the VHF system.
The tool cylinder contains a gaseous mixture of 10% helium and 90% nitrogen.,The tool cylinder contains a mixture of gases (10% helium and 90% nitrogen).
All fluids gather at the lowest point in the compartment.,All fluids collect at the lowest point in the compartment.
Guage the width of the gap between the fuselage and the Kruger flap.,Measure the distance between the fuselage and the krueger flap
Remove all working gear from the area,Remove all equipment from the work area
Memory modules are generally replaced on aircraft.,You usually replace memory modules on aircraft.
The file opening must not generate errors,There must be no errors when you open the file
The batteries generate 28 VDC.,The batteries supply 28 VDC.
Apply a generous amount of grease.,Apply a thick layer of grease.
Gently tap the flap surface.,Lightly tap the flap surface
Make sure that the reading on the guage is genuine.,Make sure that the indication on the guage is correct.
Get away from the exhaust area before the engine starts,Go away from the exhaust area before the engine starts
"If the temperature gets down to below zero, drain the water system","If the temperature decreases to less than zero, drain the water system."
Install caps to make sure foreign objects do not get into the receptacles.,Install caps on the receptacles to make sure that unwanted material goes not go into the receptacles
"Before you move the ailerons, tell all persons to get off the wings.","Before you move the ailerons, tell all persons to move off the wings."
"Then the temperature of the ventilation air gets to 27 degress C, the discharge valve opens","When the temperature of the ventilation air increases to 27 degrees C, the discharge valve opens"
Seawater can give rise to corrosion,Seawater can cause corrosion
"If there is a glitch in the system, the screen shows: NO GO.","If there is an error in the system, the screen shows: ""NO GO"""
Polish the surface to a high gloss,Polish the surface until it is very shiny
Glue the patch to the surface,Bond the patch to the surface with the applicable glue
This component governs the engine speed.,This component controls the engine speed.
Grab the handle.,Hold the handle.
Make a gradual adjustment to the temperature,Gradually adjust the temperature.
Graph the test results,Make a graph of the test results
Grasp the handle.,Hold the handle.
The measurements are obtained by means of a millimeter-graduated metal rule.,Measure the dimensions with a metal rule that has graduations in milimeters
Hydraulic fluid can cause grave skin problems,Hydraulic fluid is dangerous for your skin
A great amount of indicates incorrect setting of the float switch.,A large quantity indication shows incorrect adjustment of the float switch.
Take the greatest care when you release the pressure,Be very careful when you release the pressure.
Make sure you have a tight grip of the jack body while turning it.,Hold the jack body tightly while you turn it.
"If it grows too hot, disconnect the battery.","If the battery become too hot, disconnect it."
Guide the cable through gormmet,Put the cable through the grommet
"As you lower the pump, guide it on to the bracket","When you lower the pump, move it onto the mounting bracket."
Do not open the cargo door if the wind gusts more than 50 kph.,Do not open the cargo door if there are gusts of wind of more than 50 kph.
"If you hear an unusual noise, halt the procedure.","If you hear an unusual noise, stop the procedure."
Strong winds can hamper the correct deployment of escape slides.,Strong winds can prevent the correct deployment of escape slides.
Handle the actuator with a hoist.,Move the actuator with a hoist
Handle instruments with care.,Be careful with the instruments
Install the filter case hand-tight,Install the filter case and tighten it with your hand.
"If an accident happens, get medical attention.","If an accident occurs, get medical aid."
Let the adhesive harden,Let the adhesive become hard
Becareful when you cut lockwire. It can harm your eyes.,Be careful when you cut lockwire. It can cause injury to your eyes.
Solvent fumes are harmful to your health,Solvent fumes are dangerous
Harmonize the positions of the valves,Make the positions of the valves agree.
Haul the hydraulic cart away from the aircraft before you start the engine,Tow the hydraulic cart away from the aircraft before you start the engine.
You have to use ear protection when you are near an engine that is in operation,You must use ear protection when you are near an engine that is in operation
Trichloroethylene is a health hazard,Trichloroethylene is dangerous
All personnel who work with hazardous materials must obey the following safety instructions,All personnel who do work with dangerous materials must obey the safety instructions that follow
"If the weather is hazy, do not do the test.","Is there is haze, do not do the test"
Head aircraft into the wind,Point the aircraft into the wind.
Oil should be heated to 40 C.,Increase the temperature of the oil to 40 C.
Strong winds will heighten the risk of damage.,Strong winds will increase the risk of damage.
Record the lockwire positions. This will be helpful during the assembly procedure.,Record the lockwire positions. This will help you during the assembly procedure.
Make sure that the solenoid operatures without hesitation.,Make sure that the soleniod operates smoothly.
Toluene is highly flammable.,Toulene is very flammable.
Scratches can hinder the movement of the piston in the sleeve.,Scratches can prevent the free movement of the piston in the sleeve.
Make sure that there is nothing in the pipe to hinder airflow.,Make sure that there is no blockage in the pipe that prevents airflow
Panels hinge on two nylon straps,The panels turn on two nylon straps
Hitch the towing arm to the nosewheel.,Connect the towing arm to the nosewheel
Hoist the module into position,Life the module into position
"At full thrust, the brakes must hold the aircraft back.","At full thrust, the brakes must prevent movement of the aircraft."
The protective paint will hold off corrosion for six months.,The protective paint will prevent corrosion for six months.
Hook the sling on the shackle.,Put the sling on the shackle.
The module houses five componenets,The module contains give components
"However, this operation is recommended to decrease the drying time.",But we recommend this step to decrease the drying time.
Adjust the potentiometer until the loudspeaker no longer hums,Adjust the potentiometer until you do not hear a hum from the loudspeaker
"Be careful when you do this procedure. If the unit falls, it can hurt personnel","Be careful when you do this procedure. If the unit falls, it can cause injury to personnel."
The procedure is identical for both VHF sets,The same procedure is applicable to the two VHF sets
Identify the damaged areas.,Find the damaged areas.
Idle the engine for 20 minutes.,Operate the engine at idle for 20 mintues
"Fuel passes through the atomizers to the combustion chamber, where it is ignited.","Fuel goes through the atomizers into the combustion chamber, where ignition occurs."
Check the speedbrake for immediate retraction,Make sure that the speedbrake retracts immediately
Ensure the lamp illuminates,Make sure that the lamp comes on.
Immerse the filter in solvent,Put the filter fully into the solvent.
Immobilize the assemblies when the repairing the unit.,Prevent the movement of the assemblies when you repait the unit.
Immobilize the pulley with the rigging pin.,Lock the pulley with the rigging pin.
Avoid impact between the servicing cart and the aircraft.,Make sure that the servicing cart does not hit the aircraft.
Do not allow the vibrator tool to impact the seal surface.,Do not let the vibrator tool hit the surface of the seal.
These repairs impact engine performance.,These repairs can have an effect on the performance of the engine.
Damage will impair operation of the instrument,Damage will cause the instrument to operate incorrectly.
The life of the unit is impaired if the unit is allowed to get dirty.,The life of the unit will decrease if you let the unit become dirty.
Remocal of the cover is imperative.,Removal of the coer is necessary.
"If the test does not give satisfactory results, implement the fault isolation procedure.","If the test does not give satisfactory results, do the fault isolation procedure."
"Thus, it is impossible to give a standard value.","Thus, it is not possible to give a standard value."
It is impossible to recharge the containers while installed on the aircraft.,You cannot fill the containers while they are installed on the aircraft.
"If you have the impression that a tire has low pressure, do the steps that follow:","If you think that a tire has low pressure, do the steps that follow:"
Improper adjustment of the stop bolts on the rudder pedals can cause damage.,Incorrect adjustment of the stop bolts on the rudder pedals can cause damage.
Do not readjust parts to improve their positions.,Do not adjust the parts again to make their position better.
Impurities may cause a failure,Contanmination can cause a failure.
"In this configuration, the line key is inactive.","In this configuration, the line key has no effect."
The autohtrust system is on but inactive.,The autothrust system is on but not in operation.
"If the tank is inadvertently overfilled, open the drain valve.","If you accidentally put too much fuel in the tank, open the drainn valve."
You can adjust the incline of the ramp.,You can adjust the slope of the ramp.
This software is incompatible with other operating systems.,This software is not compatible with other operating systems.
Incorporation of this diode prevents false autopilot OFF signals.,"We included this diode to prevent incorrect autopilot ""OFF"" signals."
There must be an increase of temperature.,The temperature must increase.
The operation of this unit is independent,This unit operates independently
Scratches in windscreen may include cracking.,Scratches in the windshield can cause cracking.
"If the pump is ineffective, replace it.","If the pump is unservicable, replace it."
Inform the manufacturer about the problem.,Tell the manufacturer about the problem.
Initiate test at 2000 rpm.,Start the test at 2000 rpm.
Make sure end of safety wire cannot injure personnel.,Make sure that the end of the safety wire cannot cause injury to personnel.
Ensure the demisting system is inoperable,Make sure that the demisting system does not operate.
Check connector is inserted in mating part.,Make sure that the connect engages in mating part.
Connect the supply union inside the aircraft.,Connect the supply union in the aircraft.
Inspect the work.,Do an inspection of the work.
Use a spatula instead.,Use a spatula as an alternative.
You can use a clean plastic bag instead of the specified container.,You can use a clean plastic bag as an alternative to the specified container.
The pin is integral to the pump.,The pin is a part of the pump.
The pipes interconnect system A and system B.,The Pipes connect System A to System B
Placing the upper drag strut upside down makes it interfere with the lower drag strut.,"If you install the upper drag strut with the head down, it will hit the lower drag strut during retraction."
"Should the bracket interfere with the plate, remove surplus material with a file.","If the bracket touches the plate, remove the unwanted material with a file."
Ensure that the radar does not interfere with the Tactical Air Navigation System (TACAN).,Make sure that there is no interference between the radar and the tactical air navigation system (TACAN).
"When the input lever is in an intermediate position, measure the piston extension.","When the input lever is between 5 and 10 mm, measure the piston extension."
Move the door inward and rearward.,Move the door in and rearward.
There must be no irregularities in the surface finish.,There must be no defects in the surface finish.
Isolation of system No. 1 is necessary to do the leakage checks.,Isolate system no. 1 To do the leakage checks.
Jerk the oxygen mask to start the flow of oxygen,Pull the oxygen mask with a sudden movement to start the flow of oxygen.
Use adhesive No. 35 to join metal to metal,Use adhesive no. 35 To bond metal to metal.
Do not jolt instruments.,Do not shake the instruments.
The heads of the bolts must not jut out from the plate more than 5 mm.,The heads of the bolts must not be more than 5 mm above the plate.
Label the component with a code that will facilitate its correct reinstallation.,Identify the component with a code to help you to install it again correctly.
"If the aircraft landed heavily, perform the Heavy Landing Inspection.","After a heavy landing, do the heavy landing inspection."
The signals last0.8 seconds.,The signals continue for 0.8 Seconds.
"At a later time, disconnect the cables.",Do this step first. Then disconnect the cables.
Lead the Teleflex cable through the bulkhead,Put the teleflex cable through the bulkhead.
Allow at least two minutes between successive checks.,The minimum time between checks is two minutes.
"If fuel spills on the ground, immediately leave the contaminated area.","If fuel spills on the ground, immediately go to a safe area."
Make certain that identification plates are legible.,Make sure that you can read the identification plates.
The electrical discharge from these power units can be lethal.,The electrical discharge from these power units can kill you.
Clean window using liberal quantities of water and soap.,Clean the window with large quantities of water and soap.
The other portion of the clip lies along the barrel,The other part of the clip is along the barrel.
Observe these center of gravity limitations when you jack the aircraft:,"When you lift the aircraft on jacks, keep the center of gravity between these limits:"
List the results of the test.,Record the test results.
Table 1 lists alternative adhesives that you can use,Table 1 shows alternative adhesives that you can use.
The diameter of the tube is too little.,The diameter of the tube is too small.
"If the pressure is too little, the test will stop.","If the pressure is not sufficient, the test will stop"
"After you remove the nut, the rib can slip down a little.","After you remove the nut, the rib can move down a small distance."
The system has a live electrical power,The system is energized.
Load the spring in the cartridge.,Install the spring in the cartridge.
Locate the gear wheel on the splined shaft.,Engage the gear wheel on the splined shaft.
Log the compass corrections on the card.,Record the compass corrections on the card.
"As long as the DC supply is on, the fan must run.","While the dc supply is on, the fan must operate"
Use a drill bit no longer than 45 mm.,Use a drill bit that is maximum 45 mm long.
Loop the wire around the unit.,Make a loop of wire around the unit.
"If pressure is lost rapidly, shear pins in the latch will shear","If the pressure decreases quickly, the shear pins in the latch will break."
The rubber bushings may be lost,It is possible that you cannot find the rubber bushings.
Soak the area with lukewarm water.,Soak the area with warm water
Do not use magnetized tools to adjust the compass,Do not use magnetic tools to adjust the compass.
The main cause of valve failure is contamination of hydraulic fluid.,The primary cause of valve failure is contamination of the hydraulic fluid.
Turn the rotating tube 75 degrees. Then maintain the tube in this position.,Turn the rotating tube 75 degrees. Then hold the tube in this position.
The major function of the power unit is to supply electrical power.,The primary function of the power unit is to supply electrical power.
"If warning light is on when door is closed, microswitch is maladjusted.","If the warning light is on when the door is closed, the microswitch is incorrectly adjusted."
Manipulate the flexible pipe to get access to the bottom bolts.,Move the flexible pipe to get access to the bottom bolts.
The clearing tool can be manufactured locally.,You can make the clearing tool locally
Mark the component with a code that will facilitate its correct reinstallation.,Identify the component with a code to help you to install it again correctly.
Mask transparent panel with masking tape.,Apply masking tape to the transparent panel.
Fold the girt over the container so that Velcro tape matches.,Fold the girt onto the container until it is aligned with the velcro tape.
Ensure seal matches the panel shape.,Make sure that the seal agrees with the shape of the panel.
Mate the splines on the shaft with the splines in the gearbox.,Engage the splines on the shaft with those in the gearbox.
Remove the glossy matter from surface of blade.,Remove the glossy material from the surface of the blade.
The vanes may be damaged by using incorrect equipment.,"If you use incorrect equipment, you can cause damage to the vanes."
"If you cannot engage the rod and the piston, the length of the new rod may be incorrect.","If you cannot engage the rod and the piston, the length of the new rod is possibly incorrect."
A medium amount of pressure must be applied.,Apply moderate pressure.
The rod should meet the center of the strip.,The rod must touch the center of the strip.
The repair limits are not mentioned as special equipment is required.,The repair limits are not given because special equipment is necessary.
Examine the filter for metallic particles.,Examine the filter for metal particles.
Carry out the test in good meteorological conditions.,Do the test in good weather
Place the throttle lever in mid position,Put the throttle lever in the middle position.
Use a trestle to minimize the loads on the wing.,Use a trestle to keep the loads on the wing to a minimum.
Minor differences in temperature can be ignored.,You can ignore small differences in temperature.
Remove the tools and the related miscellaneous items,Remove the tools and the other related items.
The potlife of the mix is approximately 4 hours.,The potlife of the mixture is approximately 4 hours.
Service Bulletin No. 105 modifies the power control unit attachment bolts.,Service bulletin no. 105 Changes the bolts that attach the power control unit.
Check for momentary increase in speed.,Make sure that the speed increases momentarily.
Check that stabilizer motion continues.,Make sure that the stabilizer movement continues.
Motor the engine without ignition.,Wet-motor the engine.
Mount the manifold.,Install the manifold.
Mount the wheel on the axle.,Put the wheel on the axle.
Cracks can multiply.,The number of cracks can increase.
The backing rings do not need to be replaced.,It is not necessary to replace the backing rings.
Neutralize the electrolyte with vinegar or boric acid.,Make the electrolyte neutral with vinegar or boric acid.
Never allow the level in the tank to drop below half.,Do not let the level in the tank decrease to less than half.
"Next, remove the bolt.",Then remove the bolt.
The pump is next to the middle rib.,The pump is adjacent to the middle rib.
"In these conditions, neither the mechanical nor the electrical pitch trim systems will operate.","In these conditions, the mechanical and electrical pitch trim systems will not operate."
The ARMED position is the normal position of the switch.,The ARMED position is the usual position of the switch.
Normal operating pressure is 3000 psi.,The correct pressure for operation is 3000 psi.
Note dimension A.,Record dimension “A”.
"If cracks are found, notify the chief inspector.","If you find cracks, tell the chief inspector."
Observe radio altimeter indicator.,Monitor the radio altimeter indicator.
"If you observe oil in the drain, stop the test","If you see oil in the drain, stop the test."
Adjust lever arms if they obstruct movement,Adjust the lever arms if they prevent movement.
Examine the drain holes for obstruction.,Examine the drain holes for blockage.
Add 0.05 mm to obtain the correct clearance for a standard spherical coupling.,Add 0.05 Mm to get the correct clearance for a standard spherical coupling.
Offer up simulated fairing.,Put the simulated fairing in position.
Oil the linkage. ,Put oil on the linkage.
Remove the old sealant.,Remove the remaining sealant.
Omit steps 3 to 5.,Do not do steps 3 thru 5.
Press the pushbutton switch once.,Push the pushbutton switch one time.
Check that the ground-proximity warning system is operational.,Make sure that the ground-proximity warning system can operate.
Make sure that the L- shaped seal stays bonded or a leak can occur.,"Make sure that the L-shaped seal stays bonded. If the seal does not stay bonded, a leak can occur"
Do the weighing procedure in the following order:,Do the weighing procedure in this sequence:
Order the required paint directly from the manufacturer,Send an order for the specified paint directly to the manufacturer
The slide returns to the original position.,The slide goes back to its initial position.
The original modification added a brace to the structure.,The first modification added a brace to the structure.
"Unless otherwise specified, do repair scheme No. 4","Unless specified differently, do repair scheme no. 4."
This section outlines the procedures needed to find the faults.,This section gives you the procedures necessary to find the faults.
The outside temperature is indicated on the central display unit.,The external temperature is shown on the central display unit.
Fold the edging against the outside of the insulation blankets.,Fold the edging against the external side of the insulation blanket.
"When you do work in a fuel tank, a person must be outside the tank at all times.","When you do work in a fuel tank, a person must be near the tank at all times."
The weight must be evenly spread over the stabilizer span.,Apply the weight equally along the stabilizer span.
Do not install shims over 0.1 mm thick.,Do not install shims that are more than 0.1 Mm thick.
Do not overfill the lubrication hole.,Do not put too much fluid in the lubrication hole.
"If the tank is overfull, you cannot pressurize it correctly.","If the tank is too full, you cannot pressurize it correctly."
Rapid charging overheats the oxygen bottle.,"If you pressurize the oxygen bottle quickly, it will become too hot."
Do not overtighten the fittings.,Do not make the fittings too tight
"If only partial extension of the flap occurs, do the test again.","If the flaps do not fully extend, do the test again."
This step is of particular importance.,This step is very important.
"If the valve opens only partly, check the positions of the end stops on the actuator.","If the valve does not fully open, examine the positions of the end stops on the actuator."
Pass the antenna through top slots.,Put the antenna through the top slots
Carefully insert the tube through the passage.,Carefully put the tube through the hole.
Incorrect assembly of the seal will result in leaks past the valve.,"If you install the seal incorrectly, leaks can occur around the valve."
Incorrect assembly of seals can result in leaks past them.,"If you install seals incorrectly, leaks can occur through them."
Make certain hydraulic fluid does not penetrate receptacles.,Make sure that the hydraulic fluid does not go into the receptacles.
A maximum of two washers per bolt is permitted.,Do not use more than two washers for each bolt.
Check the membrane to see if it is perforated.,Examine the membrane for holes.
Perform the leak test.,Do the leak test.
Perform the voltage measurement between pins A and B.,Measure the voltage between pins A and B.
Examine the servo controls periodically.,Examine the servo controls at intervals of 400 flight hours.
Equivalent materials are also permissible.,Equivalent materials are also permitted.
"In the event of persistent background noise, determine the cause.","If you hear continuous background noise, find the cause."
Plot these points.,Make a plot of these points.
Plug the microphone into the jack.,Connect the microphone to the jack.
Poor contacts can cause a unit failure.,Defective contacts can cause a failure of the unit.
"If the circuit breaker pops, de-energize the circuit.","If the circuit breaker opens, de- energize the circuit."
Remove all portions of the damaged seal.,Remove all the pieces of the damaged seal.
Position the bracket on the frame.,Put the bracket on the frame.
Put barriers around all the potential danger areas.,Put barriers around all the possible danger areas.
It is common practice to tighten the bolts in this sequence.,It is standard procedure to tighten the bolts in this sequence.
Application of the tape must be preceded by cleaning of the surface.,Clean the surface before you apply the tape.
The gyro must be adjusted precisely.,Adjust the gyro accurately.
"Using the same brand of approved engine oil is preferable to mixing different approved engine oils, which is also possible.",It is possible to mix approved engine oils. But we recommend that you use the same approved oil from the same manufacturer.
"Preferably, refueling should be done outdoors.",We recommend that you refuel the vehicle outdoors.
Preload the spring to 10 lbs.,Put a load of 10 lbs. On the spring
"If the valve opening is premature, stop the test.","If the valve opens before the set pressure, stop the test."
Mixture preparation must be accomplished 20 minutes before use.,Prepare the mixture 20 minutes before you use it
"Using the prescribed hydraulic fluid, replenish the hydraulic tank.",Fill the hydraulic tank with the specified hydraulic fluid.
This inspection is necessary in the presence of defects.,This inspection is necessary when there are defects.
The data is presented in the following tabular form.,The table that follows gives the data.
Preset tension indicator to zero.,Set the tension indicator to zero.
Adjustment of the cable requires previous removal of the plate.,Remove the plate before you adjust the cable.
The hydraulic pressure system functions primarily to provide pressure for operating the flight controls.,The primary function of the hydraulic pressure system is to supply pressure for the operation of the flight controls.
Prime the filler hose.,Fill the filler hose.
Prime the fuel pump.,Put fuel in the fuel pump.
The inner tank filling procedure has priority over the outer tank filling procedure.,Fill the inner tank before you fill the outer tank.
Obey the safety precautions to decrease the probability of fire.,Obey the safety precautions to decrease the risk of fire.
Proceed with the electrical test.,Continue with the electrical test.
Apply sufficient heat to the unit in the process of doing this repair.,Apply sufficient heat to the unit during this repair.
Process the parts through inspection department.,Send the parts through the inspection department.
Old solution does not produce the correct results.,A used solution will not give you the correct results.
Wash primer is a dangerous product.,Wash primer is a dangerous material.
Ensure that template profile is identical.,Make sure that the contour of the template is the same.
Apply progressive torque to the nut.,Gradually torque the nut.
Display a warning notice on the panel prohibiting the operation of the controls.,Put a warning notice on the panel to prevent operation of the controls.
Prompt action is required if fuel leaks.,Use a fire extinguisher immediately if there is fuel leakage.
Crack propagation can cause the rejection of the part.,"If a crack is larger than 0.2 Mm, reject the part"
Close the doors properly.,Close the doors correctly.
Movement of the center of gravity is proportional to the loads on the wings.,The center of gravity moves in relation to the loads on the wings.
Use cellophane to protect the surface,Use cellophane to prevent damage to the surface.
Make sure that all sharp edges are protected with vinyl tape.,Make sure that all sharp edges have vinyl tape protection.
"Provided a replacement is available, replace the damaged fairing.","If a replacement is available, replace the damaged fairing."
"Providing a new component is installed, you can continue operation.","If a new component is installed, you can continue the operation."
Take care not to puncture the bladder.,Make sure that you do not make a hole in the bladder.
The purpose of this special tool is to extract the bushing.,The function of this special tool is to remove the bushing.
A qualified person must do important checks.,An approved person must do the important checks.
Reject parts in a questionable condition.,"If you are not sure of their condition, reject the parts."
Make sure that there is no quick movement of the rod.,Make sure that the rod does not move quickly.
"If the red light comes on, quit the refuel procedure.","If the red light comes on, stop the refuel procedure."
